ID,Country ,Country Code,YEAR,Population,Electricity 
QAT2020,Qatar,QAT,2020,2881000,0
JAM2016,Jamaica,JAM,2016,2906238,96.99733734
JAM2017,Jamaica,JAM,2017,2920853,97.96456146
JAM2018,Jamaica,JAM,2018,2934855,98.93328094
ARM2016,Armenia,ARM,2016,2936146,100
ARM2017,Armenia,ARM,2017,2944809,100
JAM2019,Jamaica,JAM,2019,2948279,0
ARM2018,Armenia,ARM,2018,2951776,100
ARM2019,Armenia,ARM,2019,2957731,0
JAM2020,Jamaica,JAM,2020,2961000,0
ARM2020,Armenia,ARM,2020,2963000,0
MNG2016,Mongolia,MNG,2016,3056359,91.0623703
MNG2017,Mongolia,MNG,2017,3113779,93.84365845
PRI2020,Puerto Rico,PRI,2020,3159000,0
MNG2018,Mongolia,MNG,2018,3170208,98.1
PRI2018,Puerto Rico,PRI,2018,3193354,100
PRI2019,Puerto Rico,PRI,2019,3193694,0
MNG2019,Mongolia,MNG,2019,3225167,0
MNG2020,Mongolia,MNG,2020,3278000,0
BIH2020,Bosnia and Herzegovina,BIH,2020,3281000,0
BIH2019,Bosnia and Herzegovina,BIH,2019,3301000,0
BIH2018,Bosnia and Herzegovina,BIH,2018,3323929,100
PRI2017,Puerto Rico,PRI,2017,3325286,100
BIH2017,Bosnia and Herzegovina,BIH,2017,3351527,100
BIH2016,Bosnia and Herzegovina,BIH,2016,3386267,100
PRI2016,Puerto Rico,PRI,2016,3406672,100
URY2016,Uruguay,URY,2016,3424132,99.7
URY2017,Uruguay,URY,2017,3436646,100
URY2018,Uruguay,URY,2018,3449299,100
URY2019,Uruguay,URY,2019,3461734,0
URY2020,Uruguay,URY,2020,3474000,0
GEO2020,Georgia,GEO,2020,3711000,0
GEO2019,Georgia,GEO,2019,3720382,0
GEO2018,Georgia,GEO,2018,3726549,100
GEO2016,Georgia,GEO,2016,3727505,100
GEO2017,Georgia,GEO,2017,3728004,100
KWT2016,Kuwait,KWT,2016,3956875,100
PAN2016,Panama,PAN,2016,4037078,96.77424622
HRV2020,Croatia,HRV,2020,4043000,0
KWT2017,Kuwait,KWT,2017,4056099,100
HRV2019,Croatia,HRV,2019,4067500,0
HRV2018,Croatia,HRV,2018,4087843,100
PAN2017,Panama,PAN,2017,4106771,100
HRV2017,Croatia,HRV,2017,4124531,100
KWT2018,Kuwait,KWT,2018,4137312,100
MRT2016,Mauritania,MRT,2016,4163534,41.47495651
HRV2016,Croatia,HRV,2016,4174349,100
PAN2018,Panama,PAN,2018,4176873,100
KWT2019,Kuwait,KWT,2019,4207083,0
PAN2019,Panama,PAN,2019,4246439,0
KWT2020,Kuwait,KWT,2020,4271000,0
MRT2017,Mauritania,MRT,2017,4282574,42.9
PAN2020,Panama,PAN,2020,4315000,0
PSE2016,West Bank and Gaza,PSE,2016,4367088,99.99033356
MRT2018,Mauritania,MRT,2018,4403319,44.52691269
PSE2017,West Bank and Gaza,PSE,2017,4454805,99.7
OMN2016,Oman,OMN,2016,4479219,100
MRT2019,Mauritania,MRT,2019,4525696,0
CAF2016,Central African Republic,CAF,2016,4537687,27.08800697
PSE2018,West Bank and Gaza,PSE,2018,4569087,100
LBR2016,Liberia,LBR,2016,4586788,19.8
CAF2017,Central African Republic,CAF,2017,4596028,29.83448982
MRT2020,Mauritania,MRT,2020,4650000,0
OMN2017,Oman,OMN,2017,4665935,100
CAF2018,Central African Republic,CAF,2018,4666377,32.42039871
PSE2019,West Bank and Gaza,PSE,2019,4685306,0
NZL2016,New Zealand,NZL,2016,4693200,100
LBR2017,Liberia,LBR,2017,4702228,24.2
CAF2019,Central African Republic,CAF,2019,4745185,0
IRL2016,Ireland,IRL,2016,4755335,100
NZL2017,New Zealand,NZL,2017,4793900,100
PSE2020,West Bank and Gaza,PSE,2020,4800000,0
IRL2017,Ireland,IRL,2017,4807388,100
LBR2018,Liberia,LBR,2018,4818977,25.9182663
OMN2018,Oman,OMN,2018,4829483,100
CAF2020,Central African Republic,CAF,2020,4830000,0
NZL2018,New Zealand,NZL,2018,4841000,100
IRL2018,Ireland,IRL,2018,4867316,100
CRI2016,Costa Rica,CRI,2016,4899345,99.5
NZL2019,New Zealand,NZL,2019,4917000,0
LBR2019,Liberia,LBR,2019,4937374,0
IRL2019,Ireland,IRL,2019,4941444,0
CRI2017,Costa Rica,CRI,2017,4949954,99.6
NZL2020,New Zealand,NZL,2020,4955000,0
OMN2019,Oman,OMN,2019,4974986,0
COG2016,"Congo, Rep.",COG,2016,4980999,60.74069595
IRL2020,Ireland,IRL,2020,4991000,0
CRI2018,Costa Rica,CRI,2018,4999441,100
CRI2019,Costa Rica,CRI,2019,5047561,0
LBR2020,Liberia,LBR,2020,5058000,0
CRI2020,Costa Rica,CRI,2020,5094000,0
OMN2020,Oman,OMN,2020,5107000,0
COG2017,"Congo, Rep.",COG,2017,5110702,64.70985413
NOR2016,Norway,NOR,2016,5234519,100
COG2018,"Congo, Rep.",COG,2018,5244363,68.51843262
NOR2017,Norway,NOR,2017,5276968,100
NOR2018,Norway,NOR,2018,5311916,100
NOR2019,Norway,NOR,2019,5347896,0
COG2019,"Congo, Rep.",COG,2019,5380508,0
NOR2020,Norway,NOR,2020,5391000,0
SVK2016,Slovak Republic,SVK,2016,5430798,100
SVK2017,Slovak Republic,SVK,2017,5439232,100
SVK2018,Slovak Republic,SVK,2018,5446771,100
SVK2019,Slovak Republic,SVK,2019,5454073,0
SVK2020,Slovak Republic,SVK,2020,5455000,0
FIN2016,Finland,FIN,2016,5495303,100
FIN2017,Finland,FIN,2017,5508214,100
FIN2018,Finland,FIN,2018,5515525,100
COG2020,"Congo, Rep.",COG,2020,5518000,0
FIN2019,Finland,FIN,2019,5520314,0
FIN2020,Finland,FIN,2020,5528000,0
SGP2016,Singapore,SGP,2016,5607283,100
SGP2017,Singapore,SGP,2017,5612253,100
SGP2018,Singapore,SGP,2018,5638676,100
TKM2016,Turkmenistan,TKM,2016,5662372,100
SGP2019,Singapore,SGP,2019,5703569,0
DNK2016,Denmark,DNK,2016,5728010,100
SGP2020,Singapore,SGP,2020,5751000,0
TKM2017,Turkmenistan,TKM,2017,5757669,100
DNK2017,Denmark,DNK,2017,5764980,100
DNK2018,Denmark,DNK,2018,5793636,100
DNK2019,Denmark,DNK,2019,5818553,0
DNK2020,Denmark,DNK,2020,5838000,0
TKM2018,Turkmenistan,TKM,2018,5850908,100
TKM2019,Turkmenistan,TKM,2019,5942089,0
TKM2020,Turkmenistan,TKM,2020,6031000,0
KGZ2016,Kyrgyz Republic,KGZ,2016,6079500,99.92182922
KGZ2017,Kyrgyz Republic,KGZ,2017,6198200,100
NIC2016,Nicaragua,NIC,2016,6303974,85.35560608
KGZ2018,Kyrgyz Republic,KGZ,2018,6322800,100
